 time            v(vin)          v(vout)        
 3.69780000e-04  7.57299142e-01  3.66955550e-01 
 3.70780000e-04  7.57256050e-01  3.67496311e-01 
 3.71780000e-04  7.57212672e-01  3.68044009e-01 
 3.72780000e-04  7.57169009e-01  3.68598726e-01 
 3.73780000e-04  7.57125063e-01  3.69160544e-01 
 3.74780000e-04  7.57080835e-01  3.69729545e-01 
 3.75780000e-04  7.57036329e-01  3.70305815e-01 
 3.76780000e-04  7.56991544e-01  3.70889442e-01 
 3.77780000e-04  7.56946483e-01  3.71480513e-01 
 3.78780000e-04  7.56901148e-01  3.72079119e-01 
 3.79780000e-04  7.56855541e-01  3.72685353e-01 
 3.80780000e-04  7.56809663e-01  3.73299307e-01 
 3.81780000e-04  7.56763516e-01  3.73921077e-01 
 3.82780000e-04  7.56717102e-01  3.74550762e-01 
 3.83780000e-04  7.56670423e-01  3.75188459e-01 
 3.84780000e-04  7.56623481e-01  3.75834270e-01 
 3.85780000e-04  7.56576277e-01  3.76488297e-01 
 3.86780000e-04  7.56528814e-01  3.77150646e-01 
 3.87780000e-04  7.56481093e-01  3.77821423e-01 
 3.88780000e-04  7.56433116e-01  3.78500736e-01 
 3.88905000e-04  7.56427101e-01  3.78586266e-01 
 3.89155000e-04  7.56415059e-01  3.78757703e-01 
 3.89655000e-04  7.56390927e-01  3.79102224e-01 
 3.90655000e-04  7.56342476e-01  3.79797843e-01 
 3.91655000e-04  7.56293774e-01  3.80502320e-01 
 3.92655000e-04  7.56244823e-01  3.81215773e-01 
 3.93655000e-04  7.56195626e-01  3.81938320e-01 
 3.94655000e-04  7.56146184e-01  3.82670079e-01 
 3.95655000e-04  7.56096500e-01  3.83411174e-01 
 3.96655000e-04  7.56046575e-01  3.84161729e-01 
 3.97655000e-04  7.55996411e-01  3.84921868e-01 
 3.98655000e-04  7.55946011e-01  3.85691722e-01 
 3.99655000e-04  7.55895376e-01  3.86471419e-01 
 4.00655000e-04  7.55844508e-01  3.87261091e-01 
 4.01655000e-04  7.55793409e-01  3.88060873e-01 
 4.02655000e-04  7.55742082e-01  3.88870901e-01 
 4.03655000e-04  7.55690528e-01  3.89691311e-01 
 4.04655000e-04  7.55638749e-01  3.90522245e-01 
 4.05655000e-04  7.55586748e-01  3.91363844e-01 
 4.06655000e-04  7.55534526e-01  3.92216252e-01 
 4.07655000e-04  7.55482086e-01  3.93079614e-01 
 4.08655000e-04  7.55429429e-01  3.93954077e-01 
 4.09655000e-04  7.55376558e-01  3.94839791e-01 
 4.10655000e-04  7.55323474e-01  3.95736906e-01 
 4.11655000e-04  7.55270181e-01  3.96645575e-01 
 4.12655000e-04  7.55216679e-01  3.97565952e-01 
 4.13655000e-04  7.55162972e-01  3.98498191e-01 
 4.14655000e-04  7.55109060e-01  3.99442452e-01 
 4.15655000e-04  7.55054947e-01  4.00398891e-01 
 4.16655000e-04  7.55000635e-01  4.01367669e-01 
 4.17655000e-04  7.54946125e-01  4.02348946e-01 
 4.18655000e-04  7.54891419e-01  4.03342885e-01 
 4.19655000e-04  7.54836521e-01  4.04349649e-01 
 4.20655000e-04  7.54781432e-01  4.05369402e-01 
 4.21655000e-04  7.54726154e-01  4.06402308e-01 
 4.22655000e-04  7.54670689e-01  4.07448532e-01 
 4.23655000e-04  7.54615040e-01  4.08508242e-01 
 4.24655000e-04  7.54559209e-01  4.09581602e-01 
 4.25655000e-04  7.54503197e-01  4.10668780e-01 
 4.26655000e-04  7.54447008e-01  4.11769942e-01 
 4.27655000e-04  7.54390644e-01  4.12885253e-01 
 4.28655000e-04  7.54334106e-01  4.14014881e-01 
 4.29655000e-04  7.54277397e-01  4.15158990e-01 
 4.30655000e-04  7.54220519e-01  4.16317745e-01 
 4.31655000e-04  7.54163474e-01  4.17491310e-01 
 4.32655000e-04  7.54106266e-01  4.18679847e-01 
 4.33655000e-04  7.54048895e-01  4.19883518e-01 
 4.34655000e-04  7.53991364e-01  4.21102483e-01 
 4.35655000e-04  7.53933675e-01  4.22336900e-01 
 4.36655000e-04  7.53875832e-01  4.23586923e-01 
 4.37655000e-04  7.53817835e-01  4.24852707e-01 
 4.38655000e-04  7.53759687e-01  4.26134402e-01 
 4.39655000e-04  7.53701392e-01  4.27432157e-01 
 4.40655000e-04  7.53642950e-01  4.28746116e-01 
 4.41655000e-04  7.53584364e-01  4.30076422e-01 
 4.42655000e-04  7.53525637e-01  4.31423211e-01 
